Name,Category,Equipment,Primary Muscle,Level,Mechanic
"Triceps Stretch","stretching","","triceps","beginner","isolation"
"Tuck Crunch","strength","body only","abdominals","beginner","isolation"
"Two-Arm Dumbbell Preacher Curl","strength","dumbbell","biceps","beginner","isolation"
"Two-Arm Kettlebell Clean","strength","kettlebells","shoulders","intermediate","compound"
"Two-Arm Kettlebell Jerk","strength","kettlebells","shoulders","intermediate","compound"
"Two-Arm Kettlebell Military Press","strength","kettlebells","shoulders","intermediate","compound"
"Two-Arm Kettlebell Row","strength","kettlebells","middle back","intermediate","compound"
"Underhand Cable Pulldowns","strength","cable","lats","beginner","compound"
"Upper Back-Leg Grab","stretching","","hamstrings","beginner",""
"Upper Back Stretch","stretching","","middle back","beginner",""
"Upright Barbell Row","strength","barbell","shoulders","beginner","compound"
"Upright Cable Row","strength","cable","traps","intermediate","compound"
"Upright Row - With Bands","strength","bands","traps","beginner","compound"
"Upward Stretch","stretching","","shoulders","beginner",""
"V-Bar Pulldown","strength","cable","lats","intermediate","compound"
"V-Bar Pullup","strength","body only","lats","beginner","compound"
"Vertical Swing","plyometrics","dumbbell","hamstrings","beginner","compound"
"Walking, Treadmill","cardio","machine","quadriceps","beginner",""
"Weighted Ball Hyperextension","strength","exercise ball","lower back","intermediate","compound"
"Weighted Ball Side Bend","strength","exercise ball","abdominals","intermediate","isolation"
"Weighted Bench Dip","strength","other","triceps","intermediate","compound"
"Weighted Crunches","strength","medicine ball","abdominals","beginner","isolation"
"Weighted Jump Squat","strength","barbell","quadriceps","intermediate","compound"
"Weighted Pull Ups","strength","other","lats","intermediate","compound"
"Weighted Sissy Squat","strength","barbell","quadriceps","expert","compound"
"Weighted Sit-Ups - With Bands","strength","other","abdominals","intermediate","isolation"
"Weighted Squat","strength","other","quadriceps","intermediate","compound"
"Wide-Grip Barbell Bench Press","strength","barbell","chest","intermediate","compound"
"Wide-Grip Decline Barbell Bench Press","strength","barbell","chest","intermediate","compound"
"Wide-Grip Decline Barbell Pullover","strength","barbell","chest","intermediate","compound"
"Wide-Grip Lat Pulldown","strength","cable","lats","beginner","compound"
"Wide-Grip Pulldown Behind The Neck","strength","cable","lats","intermediate","compound"
"Wide-Grip Rear Pull-Up","strength","body only","lats","intermediate","compound"
"Wide-Grip Standing Barbell Curl","strength","barbell","biceps","beginner","isolation"
"Wide Stance Barbell Squat","strength","barbell","quadriceps","intermediate","compound"
"Wide Stance Stiff Legs","olympic weightlifting","barbell","hamstrings","intermediate","compound"
"Wind Sprints","strength","body only","abdominals","beginner","compound"
"Windmills","stretching","","abductors","intermediate",""
"World's Greatest Stretch","stretching","","hamstrings","intermediate",""
"Wrist Circles","stretching","body only","forearms","beginner","isolation"
"Wrist Roller","strength","other","forearms","beginner","isolation"
"Wrist Rotations with Straight Bar","strength","barbell","forearms","beginner","isolation"
"Yoke Walk","strongman","other","quadriceps","intermediate","compound"
"Zercher Squats","strength","barbell","quadriceps","expert","compound"
"Zottman Curl","strength","dumbbell","biceps","intermediate","isolation"
"Zottman Preacher Curl","strength","dumbbell","biceps","intermediate","isolation"
